,1
after,1
agree,1
angles,1
attack,1
basis,1
boundary,1
comparative,1
configuration,1
control,1
curves,1
destalling,3
determine,1
different,3
distribution,1
due,2
effect,1
effects,1
empirical,1
evaluation,2
evidence,1
experimental,1
flow,1
found,1
free,1
increase,1
increment,2
integrated,1
intended,1
layer,1
lift,4
loading,1
made,2
order,1
part,2
potential,1
problem,1
produced,1
propeller,1
ratios,1
remaining,1
results,1
showed,1
slipstream,4
span,1
spanwise,1
specific,1
stream,1
study,1
substantial,1
subtracting,1
supporting,1
theoretical,1
theory,1
together,1
treatments,1
velocity,1
well,1
wing,2
